Mentions,1/2j abs,Rang,Moyenne Générale,PHILOSOPHIE,HISTOIRE-GEOGRAPHIE,MATHEMATIQUES,PHYSIQUE-CHIMIE,SCIENCES VIE & TERRE,ED.PHYSIQUE & SPORT.,ANGLAIS LV1,ALLEMAND LV2,ESPAGNOL LV2,ITALIEN LV2,JAPONAIS LV2,SPECIALITE SVT,SPECIALITE PHYS,NISSART LV3,SPECIALITE MATHS,SPECIALITE ISN,arts fac,ENS. MORAL & CIVIQUE
Félicitations,3,1,17.4,15.3,15.5,18,18.5,17.7,16,16.5,,19.3,,,,,,18,,,
Félicitations,5,1,18.1,15.3,18.5,19.2,18,19,17.5,17,,18.2,,,,,,18,,,
Félicitations,,1,18.2,17.5,19.5,19.2,17,19.1,19,15.5,,,17,,17.5,,19.3,,,,20.0
Félicitations,1,2,17,14.7,14.5,18.5,17.5,17.9,16.5,16,,15.9,,,,,,17,,,
Félicitations,2,2,17.6,16.7,17.5,17.8,18.5,17.5,17.5,16.5,,15.7,,,,,,19,,,18.0
Félicitations,4,2,17,15.3,17,17.5,17.5,18.6,14.5,17.1,,,15,,14.3,,18.6,,,,
Félicitations,15,2,18.1,17.5,17,19.4,19,16.6,19,16.5,,17.8,,,,,,19.6,,,20.0
Félicitations,1,3,17.6,18,18.5,18.6,17.5,16.5,17.5,16,,,15,,19,,,,,,
Félicitations,6,3,17.8,17,17,19.4,19,17.8,14.5,16.5,,15.8,,,,,,17.9,,,
Félicitations,9,3,17.8,18.5,18.5,18.9,20,17.6,12,14.5,,,17.3,,,16.3,18.7,,,,
Félicitations,1,4,16.5,13.3,17,17.6,16.5,17.2,14,16.2,16,,,,,,,16.5,,,20.0
Félicitations,4,17.4,17.3,18,17.8,17,17.9,16,16,,,17.5,,,17.6,,,,,16.0
Félicitations,2,5,16.4,12.7,13,18.1,17,17.9,14.5,16,,,,15.4,,,,19,,,
Félicitations,9,5,16.6,16,15,18.3,17.5,14.7,14.5,17,,,,17.1,,,,18,,,
Félicitations,16,5,17.1,13,18,17.8,16,18.8,17,17,17,,,,,,,18.4,,,
Félicitations,6,6,16.3,15,9.5,19.3,17,15,17.5,17,,,,15.5,,,,18.6,,,
Félicitations,7,6,16.5,13.5,17,17,17,16.7,11,17.3,17,,,,,,,19,,,
Félicitations,6,16.4,13.3,13.5,18.1,17,16.8,13.5,15.5,,,17.1,,,18.4,18.8,,,,
Félicitations,3,7,15.4,13.7,17.5,15.2,16,16.4,15,13.5,14,,,,,15.3,,,,,
Félicitations,8,7,15.4,17.7,18,16.2,12.5,16.6,14.5,14,15,,,,,11.6,,,,,20.0
Félicitations,12,7,15.5,20,,14.4,15,16.4,14.5,13.5,15,,,,,15.2,,,,,
Félicitations,11,8,14.5,18,15,14.4,13,10.3,20,15.5,,18,,,12.8,,18.7,,,,
Compliments,8,14,12,7.5,15.7,16,11.8,13.5,14.9,17.5,,,,,16.9,,,,,
Félicitations,8,14.6,13.3,14.5,13.8,14.5,14.5,19,13.5,,,16.5,,,,17.3,14.5,,,
Compliments,2,9,13.9,12.7,14.5,13.5,13.5,14.2,14.5,13.5,,15.1,,,11.8,,17.5,,,,17.0
Félicitations,6,9,14.4,14.7,18,14.1,11,11.1,18,15.5,,18,,,18.5,,,,,,
Compliments,8,9,13.7,14.5,18,13,12,11.2,18,15.5,,,13.3,,13.6,,16.7,,,,
Compliments,2,10,13.9,12.7,17.5,14,11,14.8,13.5,14,,,12.5,,14,,,,,,
Félicitations,4,10,13.6,17,11.5,14.2,13,13.3,19.5,10,,,,9.3,,,,,,17.9,
Compliments,14,10,13.9,13.3,9.5,13.7,11.5,15.4,0,11.5,,,14.5,,18,,17.5,,,,
Compliments,10,13.9,11,11,13.5,14,14.2,19.5,13,,,15.5,,,,17.9,14.5,,,14.0
