code	label	parent
0	ISDEC Codes	
00	Generic programmes and qualifications	0
000	Generic programmes and qualifications not further defined	00
0000	Generic programmes and qualifications not further defined	000
001	Basic programmes and qualifications	00
0011	Basic programmes and qualifications	001
001100	Basic programmes and qualifications	0011
001101	Broad generic (non-specialised) programmes and qualifications	0011
001102	General programmes and qualifications with no specific subject emphasis	0011
001103	Programmes and qualifications at primary level	0011
002	Literacy and numeracy	00
0021	Literacy and numerac	002
002100	Basic remedial programmes for youth or adults	0021
002101	Functional literacy	0021
002102	Literacy	0021
002103	Numeracy	0021
002104	Simple literacy	0021
003	Personal skills and development	00
0031	Personal skills and development	003
003100	Argumentation and presentation	0031
003101	Assertiveness training	0031
003102	Communication skills	0031
003103	Co-operation	0031
003104	Development of behavioural capacities	0031
003105	Development of mental skills	0031
003106	Development of personal organisational capacities	0031
003107	Enhancing personal skills	0031
003108	Family life development training	0031
003109	Job-seeking programmes	0031
003110	Life orientation programmes	0031
003111	Parenting courses	0031
003112	Personal career planning	0031
003113	Personal development	0031
003114	Positive thinking	0031
003115	Presentation techniques	0031
003116	Public speaking	0031
003117	Self-confidence	0031
003118	Self-esteem skills	0031
003119	Social competence	0031
003120	Teamwork	0031
003121	Time management	0031
009	Generic programmes and qualifications not elsewhere classified	00
0099	Generic programmes and qualifications not elsewhere classified	009
01	Education	0
011	Education	01
0110	Education not further defined	011
0111	Education science	011
011100	Curriculum development (theory)	0111
011101	Curriculum studies	0111
011102	Didactics	0111
011103	Distance education methodology	0111
011104	Education science	0111
011105	Educational assessment, testing and measurement	0111
011106	Educational evaluation and research	0111
011107	Paedagogical sciences (education)	0111
0112	Training for pre-school teachers	011
011200	Early childhood teaching (within formal school settings)	0112
011201	Pre-primary teacher training	0112
0113	Teacher training without subject specialisation	011
011300	Adult literacy and numeracy teacher training	0113
011301	Class teacher training	0113
011302	Elementary teacher education	0113
011303	Indigenous teacher training	0113
011304	Lower secondary teaching	0113
011305	Primary teaching	0113
011306	Special education teaching	0113
0114	Teacher training with subject specialisation	011
011400	Teacher training - arts and crafts	0114
011401	Teacher training – commercial subjects	0114
011402	Teacher training – music	0114
011403	Teacher training – nursing	0114
011404	Teacher training – physical training	0114
011405	Teacher training – second languages	0114
011406	Teacher training – specific theoretical subjects (e.g. mathematics, history)	0114
011407	Teacher training – technical subjects	0114
011408	Teacher training – vocational subjects	0114
011409	Teacher training courses for university teachers	0114
011410	Training of driving instructors	0114
0119	Education not elsewhere classified	011
018	Inter-disciplinary programmes and qualifications involving education	01
0188	Inter-disciplinary programmes and qualifications involving education	018
02	Arts and humanities	0
020	Arts and humanities not further defined	02
0200	Arts and humanities not further defined	020
021	Arts	02
0210	Arts not further defined	021
0211	Audio-visual techniques and media production	021
021100	Animation	0211
021101	Binding and finishing (printing)	0211
021102	Bookbinding	0211
021103	Camera operating	0211
021104	Cinematography	0211
021105	Compositing (printing)	0211
021106	Composition equipment operating	0211
021107	Computer game production	0211
021108	Computer graphics	0211
021109	Computer type-setting	0211
021110	Desktop publishing	0211
021111	Disc jockey training	0211
021112	Film and TV editing	0211
021113	Film and video production	0211
021114	Graphic design	0211
021115	Graphic reproduction	0211
021116	Illustration	0211
021117	Interactive media design	0211
021118	Lay-out	0211
021119	Media techniques	0211
021120	Multimedia production	0211
021121	Photo developing	0211
021122	Photography	0211
021123	Pre-press operations	0211
021124	Print finishing and binding	0211
021125	Printing	0211
021126	Printing machining	0211
021127	Publishing design	0211
021128	Radio and TV production	0211
021129	Recorded music production	0211
021130	Sound and vision	0211
021131	Sound techniques	0211
021132	Type-setting	0211
0212	Fashion, interior and industrial design	021
021200	Costume design	0212
021201	Design	0212
021202	Design of industrial products (artistic)	0212
021203	Fashion design	0212
021204	Industrial design (artistic)	0212
021205	Interior architecture	0212
021206	Interior decorating	0212
021207	Interior design	0212
021208	Stage designing	0212
021209	Three dimensional design	0212
021210	Window dressing	0212
0213	Fine arts	021
021300	Aesthetics	0213
021301	Art history	0213
021302	Art studies	0213
021303	Art theory	0213
021304	Calligraphy	0213
021305	Drawing (artistic)	0213
021306	Etching (artistic)	0213
021307	Fine art printmaking	0213
021308	History of art	0213
021309	Lithography	0213
021310	Painting (art)	0213
021311	Philosophy of art	0213
021312	Sculpture	0213
021313	Sketching (art)	0213
0214	Handicrafts	021
021400	Ceramics (craft)	0214
021401	Conservation of cultural material	0214
021402	Craft programmes	0214
021403	Crafts, folk arts and artisan	0214
021404	Decorative metal crafts	0214
021405	Embroidery (craft)	0214
021406	Fibre, textile and weaving arts	0214
021407	Floristry (flower arranging)	0214
021408	Glass arts and craft	0214
021409	Goldsmithing	0214
021410	Handicrafts	0214
021411	Indigenous crafts	0214
021412	Jewellery design	0214
