NB_ARC_VL;ID_GAV;NB_PL_MT;LARGEUR;GLOBALID;TYPE_MOBIL;PROFIL;LONGUEUR;ETAT_;CODE_INSEE;NB_PL_VL;NB_PLACE;NB_ARC_MT;geometry
0;1001;30;0.65;{578A7D02-A426-4AA0-99C6-D2C1FBED8814};4;1;21.2;En vigueur;06088;0;30;0;{"type": "Point", "coordinates": [7.21337219, 43.66717783]}
2;2010;3;2.0;{291C1D1B-2A1C-42B7-9D06-2877D62B2838};1;0;7.5;En vigueur;06088;2;5;4;{"type": "Point", "coordinates": [7.25311445, 43.69461128]}
0;2015;12;2.0;{E002A4DF-3CD8-4F5F-9E87-721004924B1C};1;1;26.0;En vigueur;06088;0;12;12;{"type": "Point", "coordinates": [7.25608087, 43.6951747]}
0;2020;3;2.0;{DD571B19-C522-4E1F-97E5-0841E6DE59E5};2;0;4.7;En vigueur;06088;1;4;0;{"type": "Point", "coordinates": [7.25171699, 43.70004002]}
0;2024;7;2.0;{1710D778-67BF-45ED-B3F5-399B82088C5A};2;0;12.0;En vigueur;06088;3;10;0;{"type": "Point", "coordinates": [7.25427638, 43.69870714]}
1;2034;3;2.0;{D1F7055E-A8A1-41E5-8CDF-D8BCF71E635C};1;0;5.0;En vigueur;06088;1;4;3;{"type": "Point", "coordinates": [7.25326543, 43.6943082]}
3;2035;6;2.0;{CAE67EB3-C150-40A4-8675-89C48AC312F7};1;0;13.0;Supprimé(e);06088;3;9;6;{"type": "Point", "coordinates": [7.25083809, 43.69363191]}
0;2043;5;2.0;{FC078D69-4443-481A-8DA6-6D2A8B81D4E8};2;0;8.0;En vigueur;06088;2;7;0;{"type": "Point", "coordinates": [7.25159582, 43.70763449]}
4;5096;6;2.0;{C04F368D-C690-4E43-9B52-D1114C4C3F0B};3;0;15.0;En vigueur;06088;8;14;5;{"type": "Point", "coordinates": [7.28542664, 43.70525184]}
0;5098;2;2.0;{6E83D5D8-2CCF-43AC-80D1-CF9BF39B3FEB};2;1;3.0;En vigueur;06088;0;2;0;{"type": "Point", "coordinates": [7.28901093, 43.70449554]}
1;5120;2;3.0;{33503A6B-7946-48A7-881B-81A2BC3DA567};1;0;3.0;En vigueur;06088;2;4;1;{"type": "Point", "coordinates": [7.29385144, 43.70984104]}
0;5125;4;2.0;{D8970123-CCE6-4389-BB19-F5C6D4523A51};2;0;3.0;Supprimé(e);06088;2;6;0;{"type": "Point", "coordinates": [7.29253421, 43.71095855]}
0;5131;4;2.0;{5E206375-CD84-4B69-BD9F-871B623F952B};2;0;4.0;Supprimé(e);06088;2;6;0;{"type": "Point", "coordinates": [7.28944626, 43.70723307]}
0;4005;2;2.0;{64B4025D-D763-43D3-81D1-3BB75C325D57};2;0;3.5;Supprimé(e);06088;1;3;0;{"type": "Point", "coordinates": [7.28311233, 43.71889605]}
3;5001;7;2.0;{F337F77E-2763-4B8C-AEA4-5A0E0BA1A298};3;0;12.0;En vigueur;06088;3;10;3;{"type": "Point", "coordinates": [7.28002746, 43.70257495]}
0;5064;4;2.0;{40AC8DE2-65F3-4C5C-91D3-2C059C144C50};2;0;6.0;Supprimé(e);06088;2;6;0;{"type": "Point", "coordinates": [7.28294761, 43.7045184]}
0;5072;4;2.0;{5D40C339-96ED-4C56-B854-815ABFFB38D6};2;0;6.0;Supprimé(e);06088;2;6;0;{"type": "Point", "coordinates": [7.28390963, 43.70222462]}
0;5081;8;2.0;{A29F7500-3A0C-4443-8754-5A790156B710};1;1;15.0;En vigueur;06088;0;14;3;{"type": "Point", "coordinates": [7.28736385, 43.70675367]}
0;7269;10;2.0;{41D4FE07-AE09-4922-93DC-D2B67D6675B6};2;0;15.0;En vigueur;06088;5;15;0;{"type": "Point", "coordinates": [7.26183189, 43.7062271]}
0;7270;3;2.0;{CCAD7C91-0567-4197-9EBF-787F53A7BB06};4;0;4.0;En vigueur;06088;1;4;0;{"type": "Point", "coordinates": [7.26227319, 43.70624918]}
4;7271;7;2.0;{9D7BB5B9-E780-4867-8AAB-D4831DF864BC};5;0;4.0;En vigueur;06088;8;15;8;{"type": "Point", "coordinates": [7.26261934, 43.70637329]}
0;5012;4;2.0;{5AA4C01D-4EAB-4F84-8FD9-56754F1EC7CA};1;1;4.0;En vigueur;06088;0;4;1;{"type": "Point", "coordinates": [7.28659984, 43.69588931]}
