0	Generic programmes and qualifications
0	Generic programmes and qualifications not further defined
0	Generic programmes and qualifications not further defined
1	Basic programmes and qualifications
11	Basic programmes and qualifications
Basic programmes and qualifications	
Broad generic (non-specialised) programmes and qualifications	
General programmes and qualifications with no specific subject emphasis	
Programmes and qualifications at primary level	
2	Literacy and numeracy
21	Literacy and numerac
Basic remedial programmes for youth or adults	
Functional literacy	
Literacy	
Numeracy	
Simple literacy	
3	Personal skills and development
31	Personal skills and development
Argumentation and presentation	
Assertiveness training	
Communication skills	
Co-operation	
Development of behavioural capacities	
Development of mental skills	
Development of personal organisational capacities	
Enhancing personal skills	
Family life development training	
Job-seeking programmes	
Life orientation programmes	
Parenting courses	
Personal career planning	
Personal development	
Positive thinking	
Presentation techniques	
Public speaking	
Self-confidence	
Self-esteem skills	
Social competence	
Teamwork	
Time management	
9	Generic programmes and qualifications not elsewhere classified
99	Generic programmes and qualifications not elsewhere classified
1	Education
11	Education
110	Education not further defined
111	Education science
Curriculum development (theory)	
Curriculum studies	
Didactics	
Distance education methodology	
Education science	
Educational assessment, testing and measurement	
Educational evaluation and research	
Paedagogical sciences (education)	
112	Training for pre-school teachers
Early childhood teaching (within formal school settings)	
Pre-primary teacher training	
113	Teacher training without subject specialisation
Adult literacy and numeracy teacher training	
Class teacher training	
Elementary teacher education	
Indigenous teacher training	
Lower secondary teaching	
Primary teaching	
Special education teaching	
114	Teacher training with subject specialisation
Teacher training - arts and crafts	
Teacher training – commercial subjects	
Teacher training – music	
Teacher training – nursing	
Teacher training – physical training	
Teacher training – second languages	
Teacher training – specific theoretical subjects (e.g. mathematics, history)	
Teacher training – technical subjects	
Teacher training – vocational subjects	
Teacher training courses for university teachers	
Training of driving instructors	
119	Education not elsewhere classified
18	Inter-disciplinary programmes and qualifications involving education
188	Inter-disciplinary programmes and qualifications involving education
2	Arts and humanities
20	Arts and humanities not further defined
200	Arts and humanities not further defined
21	Arts
210	Arts not further defined
211	Audio-visual techniques and media production
Animation	
Binding and finishing (printing)	
Bookbinding	
Camera operating	
Cinematography	
Compositing (printing)	
Composition equipment operating	
Computer game production	
Computer graphics	
Computer type-setting	
Desktop publishing	
Disc jockey training	
Film and TV editing	
Film and video production	
Graphic design	
Graphic reproduction	
Illustration	
Interactive media design	
Lay-out	
Media techniques	
Multimedia production	
Photo developing	
Photography	
Pre-press operations	
Print finishing and binding	
Printing	
Printing machining	
Publishing design	
Radio and TV production	
Recorded music production	
Sound and vision	
Sound techniques	
Type-setting	
212	Fashion, interior and industrial design
Costume design	
Design	
Design of industrial products (artistic)	
Fashion design	
Industrial design (artistic)	
Interior architecture	
Interior decorating	
Interior design	
Stage designing	
Three dimensional design	
Window dressing	
213	Fine arts
Aesthetics	
Art history	
Art studies	
Art theory	
Calligraphy	
Drawing (artistic)	
Etching (artistic)	
Fine art printmaking	
History of art	
Lithography	
Painting (art)	
Philosophy of art	
Sculpture	
Sketching (art)	
214	Handicrafts
Ceramics (craft)	
Conservation of cultural material	
Craft programmes	
Crafts, folk arts and artisan	
Decorative metal crafts	
Embroidery (craft)	
Fibre, textile and weaving arts	
Floristry (flower arranging)	
Glass arts and craft	
Goldsmithing	
Handicrafts	
Indigenous crafts	
Jewellery design	
Jewellery making (craft)	
Lapidary and jewellery	
Making of musical instruments (not industrial)	
Musical instruments (repairing and tuning)	
Needle craft	
Picture framing	
Silversmithing	
Stone carving (craft)	
Weaving (craft)	
Woodcarving	
215	Music and performing arts
Acting and directing	
Ballet	
Choreography	
Circus	
Composition (music)	
Conducting (music)	
Creative and performance art	
Dance	
Directing (theatre)	
Drama	
Elocution	
Fashion modelling	
History of film and theatre	
History of music	
Music	
Music and the stage	
Music composition	
Music conducting	
Musicology	
Performing arts	
Theatre/theatre sciences	
219	Arts not elsewhere classified
22	Humanities (except languages)
220	Humanities (except languages) not further defined
221	Religion and theology
Religion	
Religious history	
Religious studies	
Study of different religions	
Study of sacred books	
Theology	
222	History and archaeology
Archaeology	
Cultural history	
Folklore studies	
History	
History and philosophy of science and technology	
History of literature	
History of medicine	
History of science and ideas	
History of technology	
Literature history	
Medieval and renaissance studies	
Preservation of artistic heritage	
223	Philosophy and ethics
Ethics	
Logic	
Morals	
Philosophy	
229	Humanities (except languages) not elsewhere classified
23	Languages
230	Languages not further defined
231	Language acquisition
Classical languages	
Exogenous languages	
Foreign languages	
Interpretation programmes	
Phonetics	
Second languages	
Semantics, foreign languages	
Sign language interpreting	
Sign languages	
Translation programmes	
232	Literature and linguistics
Comparative literature	
Creative writing	
First language programmes	
Indigenous languages	
Linguistics, general	
Literature	
Mother tongue programmes	
Native first languages	
Philology (first language)	
Semantics (first language)	
Speech and rhetorical studies	
239	Languages not elsewhere classified
28	Inter-disciplinary programmes and qualifications involving arts and humanities
288	Inter-disciplinary programmes and qualifications involving arts and humanities
29	Arts and humanities not elsewhere classified
299	Arts and humanities not elsewhere classified
3	Social sciences, journalism and information
30	Social sciences, journalism and information not further defined
300	Social sciences, journalism and information not further defined
31	Social and behavioural sciences
310	Social and behavioural sciences not further defined
311	Economics
Econometrics	
Economic history	
Economics	
International economics	
Macro economics	
National accounts	
Political economics	
312	Political sciences and civics
Civics	
Human rights	
International relations	
Peace and conflict studies	
Political history	
Political science	
Politics	
Public policy studies	
313	Psychology
Cognitive sciences	
Conversational therapy	
Development and child psychology	
Psychoanalysis	
Psychology	
Psychotherapy	
314	Sociology and cultural studies
Criminology	
Cultural geography	
Cultural studies	
Demography/population studies	
Ethnology	
Futurology	
Gender studies	
Geography (social)	
Human geography	
Regional cultures	
Social anthropology	
Social conflict theory	
Social geography	
Sociology	
Women’s studies	
319	Social and behavioural sciences not elsewhere classified
32	Journalism and information
320	Journalism and information not further defined
321	Journalism and reporting
Broadcast journalism	
Editing	
Information (wording and content)	
Journalism	
Mass communication (wording and content)	
News reporting	
Publishing (dissemination of messages)	
322	Library, information and archival studies
Archival sciences	
Curatorial studies	
Documentation	
Information science	
Information searching	
Librarianship training	
Library studies	
Museum documentation	
Museum studies	
Museology	
329	Journalism and information not elsewhere classified
38	Inter-disciplinary programmes and qualifications involving social sciences, journalism and information
388	Inter-disciplinary programmes and qualifications involving social sciences, journalism and information
39	Social sciences, journalism and information not elsewhere classified
399	Social sciences, journalism and information not elsewhere classified
4	Business, administration and law
40	Business, administration and law not further defined
400	Business, administration and law not further defined
41	Business and administration
410	Business and administration not further defined
411	Accounting and taxation
Accounting	
Auditing	
Bookkeeping	
Tax accounting	
Tax management	
412	Finance, banking and insurance
Bank teller studies	
Banking and finance	
Business finance	
Finance, banking, insurance	
Finance theory	
Financial management	
Insurance	
Investment analysis	
Investments and securities	
Pension insurance	
Social insurance	
Stock-broking	
413	Management and administration
Administration	
Business administration	
Educational management	
Employment management	
Entrepreneurship	
Enterprise training	
Health administration	
Human resources management	
Local public administration	
Logistic management	
Management of education	
Management science	
Management skills	
Office management	
Organisational theory and behaviour	
Performance appraisal	
Personnel administration	
Personnel management	
Public administration	
Public and institution management	
Quality management	
Recruitment	
‘Start your own business’ courses	
Supply change management	
Training management	
414	Marketing and advertising
Advertising	
Consumer behaviour	
Market research	
Marketing	
Merchandising	
Public relations	
Sales and marketing	
415	Secretarial and office work
Administrative and secretarial services	
Business correspondence	
Clerical programmes	
Court reporting	
Data entry	
Foreign language secretary programmes	
Information processing/data entry	
Keyboard skills	
Legal secretary programmes	
Management support services	
Medical secretary programmes	
Office automation	
Operation of office equipment	
Receptionist training	
Secretarial programmes	
Shorthand	
Stenography	
Switchboard operating	
Typing	
416	Wholesale and retail sales
Auctioneering	
Buying and selling	
Consumer services	
Dairy retailing	
Demonstration techniques	
Property sales	
Purchasing	
Purchasing, procurement and contracts	
Real-estate business	
Retailing	
Sales representatives	
Stock-keeping	
Telephone selling	
Ware-housing	
Wholesaling	
417	Work skills
Clients’ needs	
Company knowledge	
Customer service training	
Industrial relations	
Introduction to work courses	
Organisation at work	
Quality assurance	
Trade union courses (general)	
Work development	
Work place skills	
Working life	
419	Business and administration not elsewhere classified
42	Law
421	Law
Commercial law	
Criminal justice studies	
History of law	
Indigenous law	
Islamic sharia	
Jurisprudence	
Labour law	
Law	
Legal practice	
Legal studies	
Notary/Notary’s practise	
Paralegal studies	
48	Inter-disciplinary programmes and qualifications involving business, administration and law
